a_date,a_country_iso2,asn_count
2019-09-13,LT,163
2019-09-14,LT,163
2019-09-15,LT,163
2019-09-16,LT,163
2019-09-17,LT,163
2019-09-18,LT,163
2019-09-19,LT,163
2019-09-20,LT,163
2019-09-21,LT,163
2019-09-22,LT,163
2019-09-23,LT,163
2019-09-24,LT,163
2019-09-25,LT,163
2019-09-26,LT,163
2019-09-27,LT,163
2019-09-28,LT,163
2019-09-29,LT,163
2019-09-30,LT,163
2019-10-01,LT,163
2019-10-02,LT,163
2019-10-03,LT,163
2019-10-04,LT,163
2019-10-05,LT,163
2019-10-06,LT,163
2019-10-07,LT,163
2019-10-08,LT,163
2019-10-09,LT,163
2019-10-10,LT,163
2019-10-11,LT,163
2019-10-12,LT,163
2019-10-13,LT,163
2019-10-14,LT,163
2019-10-15,LT,163
2019-10-16,LT,163
2019-10-17,LT,163
2019-10-18,LT,163
2019-10-19,LT,163
2019-10-20,LT,163
2019-10-21,LT,163
2019-10-22,LT,163
2019-10-23,LT,163
2019-10-24,LT,163
2019-10-25,LT,163
2019-10-26,LT,163
2019-10-27,LT,163
2019-10-28,LT,163
2019-10-29,LT,163
2019-10-30,LT,163
2019-10-31,LT,163
2019-11-01,LT,163
2019-11-02,LT,163
2019-11-03,LT,163
2019-11-04,LT,163
2019-11-05,LT,163
2019-11-06,LT,163
2019-11-07,LT,163
2019-11-08,LT,163
2019-11-09,LT,163
2019-11-10,LT,163
2019-11-11,LT,163
2019-11-12,LT,163
2019-11-13,LT,163
2019-11-14,LT,163
2019-11-15,LT,163
2019-11-16,LT,163
2019-11-17,LT,163
2019-11-18,LT,163
2019-11-19,LT,163
2019-11-20,LT,163
2019-11-21,LT,163
2019-11-22,LT,163
2019-11-23,LT,163
2019-11-24,LT,163
2019-11-25,LT,163
2019-11-26,LT,163
2019-11-27,LT,163
2019-11-28,LT,163
2019-11-29,LT,163
2019-11-30,LT,163
2019-12-01,LT,163
2019-12-02,LT,163
2019-12-03,LT,163
2019-12-04,LT,163
2019-12-05,LT,163
2019-12-06,LT,163
2019-12-07,LT,163
2019-12-08,LT,163
2019-12-09,LT,163
2019-12-10,LT,163
2019-12-11,LT,163
2019-12-12,LT,163
2019-12-13,LT,163
2019-12-14,LT,163
2019-12-15,LT,163
2019-12-16,LT,163
2019-12-17,LT,163
2019-12-18,LT,163
2019-12-19,LT,163
2019-12-20,LT,163
2019-12-21,LT,163
2019-12-22,LT,163
2019-12-23,LT,163
2019-12-24,LT,163
2019-12-25,LT,163
2019-12-26,LT,163
2019-12-27,LT,163
2019-12-28,LT,163
2019-12-29,LT,163
2019-12-30,LT,163
2019-12-31,LT,163
2020-01-01,LT,163
2020-01-02,LT,163
2020-01-03,LT,163
2020-01-04,LT,163
2020-01-05,LT,163
2020-01-06,LT,163
2020-01-07,LT,163
2020-01-08,LT,163
2020-01-09,LT,163
2020-01-10,LT,163
2020-01-11,LT,163
2020-01-12,LT,163
2020-01-13,LT,163
2020-01-14,LT,163
2020-01-15,LT,163
2020-01-16,LT,163
2020-01-17,LT,163
2020-01-18,LT,163
2020-01-19,LT,163
2020-01-20,LT,163
2020-01-21,LT,163
2020-01-22,LT,163
2020-01-23,LT,163
2020-01-24,LT,163
2020-01-25,LT,163
2020-01-26,LT,163
2020-01-27,LT,163
2020-01-28,LT,163
2020-01-29,LT,163
2020-01-30,LT,163
2020-01-31,LT,163
2020-02-01,LT,163
2020-02-02,LT,163
2020-02-03,LT,163
2020-02-04,LT,163
2020-02-05,LT,163
2020-02-06,LT,163
2020-02-07,LT,163
2020-02-08,LT,163
2020-02-09,LT,163
2020-02-10,LT,163
2020-02-11,LT,163
2020-02-12,LT,163
2020-02-13,LT,163
2020-02-14,LT,163
2020-02-15,LT,163
2020-02-16,LT,163
2020-02-17,LT,163
2020-02-18,LT,163
2020-02-19,LT,163
2020-02-20,LT,163
2020-02-21,LT,163
2020-02-22,LT,163
2020-02-23,LT,163
2020-02-24,LT,163
2020-02-25,LT,163
2020-02-26,LT,163
2020-02-27,LT,163
2020-02-28,LT,163
2020-02-29,LT,163
2020-03-01,LT,163
2020-03-02,LT,163
2020-03-03,LT,163
2020-03-04,LT,163
2020-03-05,LT,163
2020-03-06,LT,163
2020-03-07,LT,163
2020-03-08,LT,163
2020-03-09,LT,163
2020-03-10,LT,163
2020-03-11,LT,163
2020-03-12,LT,163
2020-03-13,LT,163
2020-03-14,LT,163
2020-03-15,LT,163
2020-03-16,LT,163
2020-03-17,LT,163
2020-03-18,LT,163
2020-03-19,LT,163
2020-03-20,LT,163
2020-03-21,LT,163
2020-03-22,LT,163
2020-03-23,LT,163
2020-03-24,LT,163
2020-03-25,LT,163
2020-03-26,LT,163
2020-03-27,LT,163
2020-03-28,LT,163
2020-03-29,LT,163
2020-03-30,LT,163
2020-03-31,LT,163
2020-04-01,LT,163
2020-04-02,LT,163
2020-04-03,LT,163
2020-04-04,LT,163
2020-04-05,LT,163
2020-04-06,LT,163
2020-04-07,LT,163
2020-04-08,LT,163
2020-04-09,LT,163
2020-04-10,LT,163
2020-04-11,LT,163
2020-04-12,LT,163
2020-04-13,LT,163
2020-04-14,LT,163
2020-04-15,LT,163
2020-04-16,LT,163
2020-04-17,LT,163
2020-04-18,LT,163
2020-04-19,LT,163
2020-04-20,LT,163
2020-04-21,LT,163
2020-04-22,LT,163
2020-04-23,LT,163
2020-04-24,LT,163
2020-04-25,LT,163
2020-04-26,LT,163
2020-04-27,LT,163
2020-04-28,LT,163
2020-04-29,LT,163
2020-04-30,LT,163
2020-05-01,LT,163
2020-05-02,LT,163
2020-05-03,LT,163
2020-05-04,LT,163
2020-05-05,LT,163
2020-05-06,LT,163
2020-05-07,LT,163
2020-05-08,LT,163
2020-05-09,LT,163
2020-05-10,LT,163
2020-05-11,LT,163
2020-05-12,LT,163
2020-05-13,LT,163
2020-05-14,LT,163
2020-05-15,LT,163
2020-05-16,LT,163
2020-05-17,LT,163
2020-05-18,LT,163
2020-05-19,LT,163
2020-05-20,LT,163
2020-05-21,LT,163
2020-05-22,LT,163
2020-05-23,LT,163
2020-05-24,LT,163
2020-05-25,LT,163
2020-05-26,LT,163
2020-05-27,LT,163
2020-05-28,LT,163
2020-05-29,LT,163
2020-05-30,LT,163
2020-05-31,LT,163
2020-06-01,LT,163
2020-06-02,LT,163
2020-06-03,LT,163
2020-06-04,LT,163
2020-06-05,LT,163
2020-06-06,LT,163
2020-06-07,LT,163
2020-06-08,LT,163
2020-06-09,LT,163
2020-06-10,LT,163
2020-06-11,LT,163
2020-06-12,LT,163
2020-06-13,LT,163
2020-06-14,LT,163
2020-06-15,LT,163
2020-06-16,LT,163
2020-06-17,LT,163
2020-06-18,LT,163
2020-06-19,LT,163
2020-06-20,LT,163
2020-06-21,LT,163
2020-06-22,LT,163
2020-06-23,LT,163
2020-06-24,LT,163
2020-06-25,LT,163
2020-06-26,LT,163
2020-06-27,LT,163
2020-06-28,LT,163
2020-06-29,LT,163
2020-06-30,LT,163
2020-07-01,LT,163
2020-07-02,LT,163
2020-07-03,LT,163
2020-07-04,LT,163
2020-07-05,LT,163
2020-07-06,LT,163
2020-07-07,LT,163
2020-07-08,LT,163
2020-07-09,LT,163
2020-07-10,LT,163
2020-07-11,LT,163
2020-07-12,LT,163
2020-07-13,LT,163
2020-07-14,LT,164
2020-07-15,LT,164
2020-07-16,LT,164
2020-07-17,LT,164
2020-07-18,LT,164
2020-07-19,LT,164
2020-07-20,LT,164
2020-07-21,LT,164
2020-07-22,LT,164
2020-07-23,LT,163
2020-07-24,LT,164
2020-07-25,LT,164
2020-07-26,LT,164
2020-07-27,LT,164
2020-07-28,LT,165
2020-07-29,LT,165
2020-07-30,LT,163
2020-07-31,LT,163
2020-08-01,LT,163
2020-08-02,LT,163
2020-08-03,LT,163
2020-08-04,LT,163
2020-08-05,LT,164
2020-08-06,LT,164
2020-08-07,LT,164
2020-08-08,LT,164
2020-08-09,LT,164
2020-08-10,LT,164
2020-08-11,LT,164
2020-08-12,LT,164
2020-08-13,LT,164
2020-08-14,LT,164
2020-08-15,LT,164
2020-08-16,LT,164
2020-08-17,LT,164
2020-08-18,LT,164
2020-08-19,LT,164
2020-08-20,LT,164
2020-08-21,LT,164
2020-08-22,LT,164
2020-08-23,LT,164
2020-08-24,LT,164
2020-08-25,LT,164
2020-08-26,LT,164
2020-08-27,LT,164
2020-08-28,LT,164
2020-08-29,LT,164
2020-08-30,LT,164
2020-08-31,LT,164
2020-09-01,LT,164
2020-09-02,LT,164
2020-09-03,LT,164
2020-09-04,LT,164
2020-09-05,LT,164
2020-09-06,LT,164
2020-09-07,LT,164
2020-09-08,LT,164
